,text,token
0,"I'm having a hard time understanding how buffered channels work. Based on the following example, i'm trying to utilize 2 threads at a time to print out the current time, with approximately 2 second delays between every 2 go calls:

","[""I'm"", 'having', 'a', 'hard', 'time', 'understanding', 'how', 'buffered', 'channels', 'work', '.', 'Based', 'on', 'the', 'following', 'example', ',', ""i'm"", 'trying', 'to', 'utilize', '2', 'threads', 'at', 'a', 'time', 'to', 'print', 'out', 'the', 'current', 'time', ',', 'with', 'approximately', '2', 'second', 'delays', 'between', 'every', '2', 'go', 'calls', ':']"
1,package main,"['package', 'main']"
2,"import ""fmt""","['import', '""fmt""']"
3,"import ""time""","['import', '""time""']"
4,func main() {,"['func', 'main()', '{']"
5,    returnCurrentTime := func() string  {,"['return', 'CurrentTime', ':=', 'func', '()', 'string', '{']"
6,        return time.Now().String(),"['return', 'time.Now().String()']"
7,    },['}']
8,"    c := make(chan string, 2)","['c', ':=', 'make(chan string, 2)']"
9,    asyncReturnCurrentTime := func(c chan string) {,"['asyncReturnCurrentTime', ':=', 'func', '(', 'c', 'chan', 'string', ')', '{']"
10,        time.Sleep(2001 * time.Millisecond),['time.Sleep(2001 * time.Millisecond)']
11,        c <- returnCurrentTime(),"['c', '<-', 'return', 'CurrentTime()']"
12,    },['}']
13,    for i := 1; i != 7; i++ {,"['for', 'i', ':=', '1', ';', 'i', '!=', '7', ';', 'i', '++', '{']"
14,        go asyncReturnCurrentTime(c),"['go', 'asyncReturnCurrentTime(c)']"
15,        if(i % 3 == 0) {,"['if', '(', 'i', '%', '3', '==', '0', ')', '{']"
16,            fmt.Println(<- c),['fmt.Println(<- c)']
17,            fmt.Println(<- c),['fmt.Println(<- c)']
18,            fmt.Println(<- c),['fmt.Println(<- c)']
19,            fmt.Println(),['fmt.Println()']
20,        },['}']
21,    },['}']
22,},['}']
23,"

This produces

","['This', 'produces']"
24,2013-02-27 03:17:50,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '50']"
25,2013-02-27 03:17:50,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '50']"
26,2013-02-27 03:17:50,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '50']"
27,2013-02-27 03:17:52,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '52']"
28,2013-02-27 03:17:52,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '52']"
29,2013-02-27 03:17:52,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '52']"
30,"

What i'm expecting regarding the seconds is 2 second delays between ever 2 go calls and in this case the following result

","['What', ""i'm"", 'expecting', 'regarding', 'the', 'seconds', 'is', '2', 'second', 'delays', 'between', 'ever', '2', 'go', 'calls', 'and', 'in', 'this', 'case', 'the', 'following', 'result']"
31,2013-02-27 03:17:50,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '50']"
32,2013-02-27 03:17:50,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '50']"
33,2013-02-27 03:17:52 <- 3rd call with 2 buffer slots,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '52', '<-', '3', 'rd', 'call', 'with', '2', 'buffer', 'slots']"
34,2013-02-27 03:17:54,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '54']"
35,2013-02-27 03:17:54,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '54']"
36,2013-02-27 03:17:56 <- 3rd call with 2 buffer slots,"['2013', '-', '02', '-', '27', '03', ':', '17', ':', '56', '<-', '3', 'rd', 'call', 'with', '2', 'buffer', 'slots']"
37,"

Obviously i misunderstood the concept of buffered channels, would somebody please be kind enough to explain the fault in my logic and how to achieve the expected result?

Thank you
","['Obviously', 'i', 'misunderstood', 'the', 'concept', 'of', 'buffered', 'channels', ',', 'would', 'somebody', 'please', 'be', 'kind', 'enough', 'to', 'explain', 'the', 'fault', 'in', 'my', 'logic', 'and', 'how', 'to', 'achieve', 'the', 'expected', 'result', '?', 'Thank', 'you']"
