,text,token
0,"Starting to work through the Google Go HelloWorld tutorial from:  

https://developers.google.com/appengine/docs/go/gettingstarted/helloworld

Using OS X 10.8.2 on MacBook Pro.

Followed the steps, but when I run the first code ( dev_appserver.py myapp/ ), I get errors listed at end of question.

This is the hello world program:

","['Starting', 'to', 'work', 'through', 'the', 'Google', 'Go', 'HelloWorld', 'tutorial', 'from:', 'https://developers.google.com/appengine/docs/go/gettingstarted/helloworld', 'Using', 'OS', 'X', '10.8.2', 'on', 'MacBook', 'Pro.', 'Followed', 'the', 'steps,', 'but', 'when', 'I', 'run', 'the', 'first', 'code', '(', 'dev_appserver.py', 'myapp/', '),', 'I', 'get', 'errors', 'listed', 'at', 'end', 'of', 'question.', 'This', 'is', 'the', 'hello', 'world', 'program:']"
1,package hello,"['package', 'hello']"
2,import (,"['import', '(']"
3,"    ""fmt""","['""fmt""']"
4,"    ""net/http""","['""net/http""']"
5,),[')']
6,func init() {,"['func', 'init', '()', '{']"
7,"    http.HandleFunc(""/"", handler)","['http.HandleFunc(""/"", handler)']"
8,},['}']
9,"func handler(w http.ResponseWriter, r *http.Request) {","['func', 'handler', '(', 'w', 'http', '.', 'ResponseWriter', ',', 'r', '*', 'http', '.', 'Request', ')', '{']"
10,"    fmt.Fprint(w, ""Hello, world!"")","['fmt.Fprint(w, ""Hello, world!"")']"
11,},['}']
12,"

and this is the configuration file:

","['and', 'this', 'is', 'the', 'configuration', 'file:']"
13,application: helloworld,"['application', ':', 'helloworld']"
14,version: 1,"['version', ':', '1']"
15,runtime: go,"['runtime', ':', 'go']"
16,api_version: go1,"['api_version', ':', 'go', '1']"
17,"

handlers:

",['handlers:']
18,- url: /.*,"['-', 'url', ':', '.*']"
19,  script: _go_app,"['script', ':', '_go_app']"
20,"

Have googled and searched here on stackoverflow, but not found solution.

Let me know if you have any ideas/suggestions.

","['Have', 'googled', 'and', 'searched', 'here', 'on', 'stackoverflow,', 'but', 'not', 'found', 'solution.', 'Let', 'me', 'know', 'if', 'you', 'have', 'any', 'ideas/suggestions.']"
