,text,token,annotation
0,"I'm wrapping a Go library for Python. I need to be able to return None, but it's not finding it at compile time:

","['I', ""'m"", 'wrapping', 'a', 'Go', 'library', 'for', 'Python', '.', 'I', 'need', 'to', 'be', 'able', 'to', 'return', 'None', ',', 'but', 'it', ""'s"", 'not', 'finding', 'it', 'at', 'compile', 'time', ':']","['PRP', 'VBP', 'VBG', 'DT', 'NNP', 'NN', 'IN', 'NNP', '.', 'PRP', 'VBP', 'TO', 'VB', 'JJ', 'TO', 'VB', 'NNP', ',', 'CC', 'PRP', 'VBZ', 'RB', 'VBG', 'PRP', 'IN', 'JJ', 'NN', ‘:']"
1,/*,['/*'],[‘COMMENT']
2,#cgo pkg-config: python3,"[‘#’, ’cgo', 'pkg', '-', 'config', ':', 'python3']","[‘COMMENT’, ’IDENTIFIER', 'IDENTIFIER', ‘:', 'IDENTIFIER', ‘:', 'IDENTIFIER']"
3,#define Py_LIMITED_API,"[‘#’, ‘define’, 'Py_LIMITED_API']","[‘COMMENT’, ’IDENTIFIER’, 'IDENTIFIER']"
4,#include ,"[‘#’, ‘include’]","[‘COMMENT’, ’IDENTIFIER’]"
5,*/,['*/'],[‘COMMENT']
6,"import ""C""","['import', '""C""']","['KEYWORD', 'STRING_LITERAL']"
7,//export Nothing,"['//', 'export', 'Nothing']","['COMMENT', ‘VB', 'NN']"
8,"func Nothing(self, args *C.PyObject) (status *C.PyObject) {","['func', 'Nothing', '(', 'self', ',', 'args', '*', 'C', '.', 'PyObject', ')', '(', 'status', '*', 'C', '.', 'PyObject', ')', '{']","['KEYWORD', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'POINTER_OPERATOR', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION', 'IDENTIFIER', ‘POINTER_OPERATOR', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'PUNCTUATION']"
9,    C.Py_IncRef(C.Py_None),['C.Py_IncRef(C.Py_None)'],['FUNCTION_CALL']
10,    return C.Py_None,"['return', 'C', '.', 'Py_None']","['KEYWORD', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER']"
11,},['}'],['PUNCTUATION']
12,"

Here's the output of go build

","['Here', ""'s"", 'the', 'output', 'of', 'go', 'build']","['RB', 'VBZ', 'DT', 'NN', 'IN', 'NNP', ‘NN']"
13,go build -buildmode=c-shared -o mymodule.so,"['go', 'build', '-', 'buildmode', '=', 'c', '-', 'shared', '-', 'o', 'mymodule', '.', 'so']","['KEYWORD', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'ASSIGNMENT_OPERATOR', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', ‘PUNCTUATION', 'IDENTIFIER', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER']"
14,# example.com/mywrapper,"[‘#’, ‘example.com/mywrapper']","[‘COMMENT', 'DIRECTORY']"
15,/tmp/go-build293667616/example.com/mywrapper/_obj/_cgo_main.o:(.data.rel+0x0): undefined reference to `Py_None',"['/tmp/go-build293667616/example.com/mywrapper/_obj/_cgo_main.o:(.data.rel+0x0)', ‘:’, 'undefined', 'reference', 'to', 'Py_None']","['DIRECTORY', 'PUNCTUATION', 'RESERVED', ‘NN', ‘TO’, ’IDENTIFIER’]"
16,collect2: error: ld returned 1 exit status,"['collect2', ':', 'error', ':', 'ld', 'return', 'ed', '1', 'exit', 'status']","['IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'PUNCTUATION', 'IDENTIFIER', 'KEYWORD', 'IDENTIFIER', 'DECIMAL_LITERAL', 'JJ', 'NN']"
17,"

I'm not understanding how it can be finding all of the other Py* functions and types (PyArgs_ParseTuple and PyLong_FromLong work just fine), but can't find Py_None. The Python library is obviously being loaded. What's going on here?
","['I', ""'m"", 'not', 'understanding', 'how', 'it', 'can', 'be', 'finding', 'all', 'of', 'the', 'other', 'Py*', 'functions', 'and', 'types', '(', 'PyArgs_ParseTuple', 'and', 'PyLong_FromLong', 'work', 'just', 'fine', ')', ',', 'but', 'ca', ""n't"", 'find', 'Py_None', '.', 'The', 'Python', 'library', 'is', 'obviously', 'being', 'loaded', '.', 'What', ""'s"", 'going', 'on', 'here', '?']","['PRP', 'VBP', 'RB', 'VBG', 'WRB', 'PRP', 'MD', 'VB', 'VBG', 'DT', 'IN', 'DT', 'JJ', 'NNP', 'NNS', 'CC', 'NNS', '(', 'NNP', 'CC', 'NNP', ‘VB', 'RB', ‘RB', ')', ',', 'CC', 'MD', 'RB', 'VB', 'NNP', '.', 'DT', 'NNP', 'NN', 'VBZ', 'RB', 'VBG', 'VBN', '.', 'WP', 'VBZ', 'VBG', 'IN', 'RB', '.']"
