,text,token,annotation
0,package main,"['package', 'main']","['KEYWORD', 'IDENTIFIER']"
1,import (,"['import', '(']","['KEYWORD', 'OPERATOR']"
2,"    ""encoding/json""","['""encoding/json""']",['STRING_LITERAL']
3,"    ""fmt""","['""fmt""']",['STRING_LITERAL']
4,),[')'],['OPERATOR']
5,type PublicKey struct {,"['type', 'PublicKey', 'struct', '{']","['KEYWORD', 'IDENTIFIER', 'KEYWORD', 'OPERATOR']"
6,    name string,"['name', 'string']","['IDENTIFIER', 'IDENTIFIER']"
7,    price string,"['price', 'string']","['IDENTIFIER', 'IDENTIFIER']"
8,},['}'],['OPERATOR']
9,type KeysResponse struct {,"['type', 'KeysResponse', 'struct', '{']","['KEYWORD', 'IDENTIFIER', 'KEYWORD', 'OPERATOR']"
10,    Collection []PublicKey,"['Collection', '[]', 'PublicKey']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER']"
11,},['}'],['OPERATOR']
12,func main() {,"['func', 'main', '()', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'OPERATOR']"
13,"    s := `[{""name"":""Galaxy Nexus"", ""price"":""3460.00""},{""name"":""Galaxy Nexus"", ""price"":""3460.00""}]`","['s', ':=', '[{', '""name""', ':', '""Galaxy Nexus""', ',', '""price""', ':', '""3460.00""', '},{', '""name""', ':', '""Galaxy Nexus""', ',', '""price""', ':', '""3460.00""', '}]']","['IDENTIFIER', 'OPERATOR', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR', 'STRING_LITERAL', 'OPERATOR']"
14,"    keys := make([]PublicKey,0)","['keys', ':=', 'make', '([]', 'PublicKey', ',', '0', ')']","['IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR', 'OCTAL_LITERAL', 'OPERATOR']"
15,"    err := json.Unmarshal([]byte(s), &keys)","['err', ':=', 'json.Unmarshal([]byte(s), &keys)']","['IDENTIFIER', 'OPERATOR', 'FUNCTION_CALL']"
16,    if err == nil {,"['if', 'err', '==', 'nil', '{']","['KEYWORD', 'IDENTIFIER', 'OPERATOR', 'IDENTIFIER', 'OPERATOR']"
17,"        fmt.Printf(""%+v\n"", keys)","['fmt.Printf(""%+v\\n"", keys)']",['FUNCTION_CALL']
18,    } else {,"['}', 'else', '{']","['OPERATOR', 'KEYWORD', 'OPERATOR']"
